Date,Open,High,Low,Close,Volume
2001-11-05,1565.86,1565.86,1565.86,1565.86,56416200.0
2001-11-06,1565.36,1565.36,1565.36,1565.36,53122600.0
2001-11-07,1555.62,1555.62,1555.62,1555.62,52138400.0
2001-11-08,1556.13,1556.13,1556.13,1556.13,46647800.0
2001-11-09,1529.17,1529.17,1529.17,1529.17,63028300.0
2001-11-12,1508.9,1508.9,1508.9,1508.9,54279600.0
2001-11-13,1539.99,1539.99,1539.99,1539.99,59082600.0
2001-11-14,1569.63,1569.63,1569.63,1569.63,74007800.0
2001-11-15,1576.83,1576.83,1576.83,1576.83,54104800.0
2001-11-16,1550.84,1550.84,1550.84,1550.84,36417400.0
2001-11-19,1555.91,1555.91,1555.91,1555.91,26025700.0
2001-11-20,1562.36,1562.36,1562.36,1562.36,
2001-11-21,1552.62,1552.62,1552.62,1552.62,47851800.0
2001-11-22,1553.14,1553.14,1553.14,1553.14,9857200.0
2001-11-23,1567.97,1567.97,1567.97,1567.97,26758700.0
2001-11-26,1570.02,1570.02,1570.02,1570.02,49066900.0
2001-11-27,1583.27,1583.27,1583.27,1583.27,65073300.0
2001-11-28,1578.15,1578.15,1578.15,1578.15,65611400.0
2001-11-29,1577.28,1577.28,1577.28,1577.28,50175700.0
2001-11-30,1571.5,1571.5,1571.5,1571.5,37287800.0
2001-12-03,1590.56,1590.56,1590.56,1590.56,31396700.0
2001-12-04,1608.07,1608.07,1608.07,1608.07,52325400.0
